"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Brenn Scott","G","So","18","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","chatham"
"Robyn Goodwin","F","Fr","8","0","0","0","0.0000","2","4","0","0","0","0","2007-2008","chatham"
"Adrianna Riggio","F","So","25","7","11","18","0.7200","0","0","1","3","0","0","2007-2008","castleton"
"Nicole Adams","F","So","24","5","8","13","0.5417","7","17","0","1","0","0","2007-2008","castleton"
"Katelyn Greene","F","Jr","25","6","5","11","0.4400","15","30","0","1","0","0","2007-2008","castleton"
"Steph Purinton","F","Sr","25","5","5","10","0.4000","5","10","0","3","0","0","2007-2008","castleton"
"Maryanne Diehm","F","So","25","6","3","9","0.3600","10","20","1","3","1","0","2007-2008","castleton"
"Cassandra Koehne","D","Fr","25","2","7","9","0.3600","20","51","0","1","0","0","2007-2008","castleton"
"Kayla Twigge","D","Jr","25","3","5","8","0.3200","16","32","0","1","0","0","2007-2008","castleton"
"Amy Costa","F","Fr","24","3","5","8","0.3333","15","30","0","1","0","0","2007-2008","castleton"
"Kate Gray","F","Fr","21","5","2","7","0.3333","8","16","1","0","0","0","2007-2008","castleton"
"Sarah Pearson","D","Sr","25","1","6","7","0.2800","8","16","0","0","0","0","2007-2008","castleton"
"Courtney Leavitt","D","Fr","10","4","1","5","0.5000","3","6","2","0","0","0","2007-2008","castleton"
"Page O'Neill","F","Fr","15","3","2","5","0.3333","15","30","0","1","0","0","2007-2008","castleton"
"Brittany Pressey","D","So","25","1","3","4","0.1600","2","4","0","0","0","0","2007-2008","castleton"
"Charl May","D","Fr","25","0","4","4","0.1600","15","30","0","0","0","0","2007-2008","castleton"
"Maeghan Roach","D","Fr","10","0","3","3","0.3000","0","0","0","0","0","0","2007-2008","castleton"
"Amy Bedard","LW","","5","1","0","1","0.2000","1","2","0","0","0","0","2007-2008","castleton"
"Vanessa Carter","G","Sr","21","0","0","0","0.0000","2","4","0","0","0","0","2007-2008","castleton"
"Emily Bisson","F","Fr","25","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","castleton"
"Kalla Robb","G","Jr","7","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","castleton"
"Kaela Davislane","F","Fr","10","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","castleton"
"Britney Selina","C","So","36","17","26","43","1.1944","9","29","2","5","1","0","2007-2008","clarkson"
"Genevieve Lavoie","RW","So","37","12","26","38","1.0270","0","0","3","6","0","0","2007-2008","clarkson"
"Melissa Waldie","LW","Fr","37","19","17","36","0.9730","4","8","6","9","0","0","2007-2008","clarkson"
"Marie-Jo Gaudet","C","Jr","37","24","10","34","0.9189","9","18","7","7","0","2","2007-2008","clarkson"
"Carlee Eusepi","D","So","35","6","14","20","0.5714","2","4","0","3","0","0","2007-2008","clarkson"
"Brooke Beazer","C","Sr","37","5","10","15","0.4054","11","22","1","1","0","0","2007-2008","clarkson"
"Katie Morrison","D","Sr","37","5","8","13","0.3514","15","30","1","3","0","0","2007-2008","clarkson"
"Jessica Cloutier","RW","Sr","37","4","9","13","0.3514","18","36","0","0","0","0","2007-2008","clarkson"
"Daris Tendler","LW","Fr","37","2","11","13","0.3514","3","6","0","1","0","0","2007-2008","clarkson"
"Kimberly McKenney","D","Jr","37","3","8","11","0.2973","9","18","0","2","0","0","2007-2008","clarkson"
"Amanda Dittmer","C","Sr","37","3","7","10","0.2703","5","10","0","2","0","0","2007-2008","clarkson"
"Ashleigh Moorehead","RW","So","37","4","1","5","0.1351","6","12","2","0","0","0","2007-2008","clarkson"
"Rebecca Gordon","RW","Fr","37","1","1","2","0.0541","2","4","0","0","0","0","2007-2008","clarkson"
"Laura Hart","RW","Fr","37","1","1","2","0.0541","3","6","1","0","0","0","2007-2008","clarkson"
"Caitlin Oleksa","C","Fr","37","0","2","2","0.0541","3","6","0","0","0","0","2007-2008","clarkson"
"Courtney Olson","D","Fr","35","0","2","2","0.0571","0","0","0","0","0","0","2007-2008","clarkson"
"Courtney O'Connor","D","Jr","37","0","1","1","0.0270","9","18","0","0","0","0","2007-2008","clarkson"
"Stefanie Wyss","LW","Jr","33","0","1","1","0.0303","0","0","0","0","0","0","2007-2008","clarkson"
"Eve Grandmont-Berube","G","Fr","25","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","clarkson"
"Lauren Dahm","G","Fr","13","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","clarkson"
"Rebecca Julian","F","Jr","27","18","15","33","1.2222","2","4","3","3","0","0","2007-2008","colby"
"Laura Anning","F","Jr","26","18","12","30","1.1538","22","44","3","3","0","0","2007-2008","colby"
"Stephanie Scarpato","F","Fr","21","9","11","20","0.9524","5","10","0","3","0","0","2007-2008","colby"
"Amanda Comeau","F/D","Jr","27","8","11","19","0.7037","5","10","2","3","1","0","2007-2008","colby"
"Elissa Kurtz","F","Fr","27","9","8","17","0.6296","7","14","3","2","0","0","2007-2008","colby"
"Colette Finley","F","Jr","27","5","8","13","0.4815","7","14","0","4","0","0","2007-2008","colby"
"Lauren Goethals","D","Sr","27","2","10","12","0.4444","4","8","0","1","1","0","2007-2008","colby"
"Liz Osgood","F","Fr","27","5","4","9","0.3333","6","12","2","1","0","0","2007-2008","colby"
"Meryl Poulin","F","Fr","27","5","3","8","0.2963","3","6","1","1","0","0","2007-2008","colby"
"Dana Yerigan","D","So","26","1","5","6","0.2308","14","28","0","0","0","0","2007-2008","colby"
"Heather Nickerson","F/D","Jr","17","2","3","5","0.2941","7","14","1","0","0","0","2007-2008","colby"
"Marissa Mullane","D","Sr","27","1","4","5","0.1852","14","28","0","0","0","0","2007-2008","colby"
"Andrea Fuwa","D","So","27","2","2","4","0.1481","5","10","0","1","0","0","2007-2008","colby"
"Alexandra Essman","F","Fr","27","1","2","3","0.1111","1","2","0","0","0","0","2007-2008","colby"
"Kaitlyn Conway","F","So","27","0","3","3","0.1111","9","18","0","0","0","0","2007-2008","colby"
"Tatiana Kowalewski","F/D","So","27","1","1","2","0.0741","10","20","0","0","0","0","2007-2008","colby"
"Jennifer Caruso","F","Jr","12","0","1","1","0.0833","2","4","0","0","0","0","2007-2008","colby"
"Caroline Voyles","D","Sr","27","0","1","1","0.0370","2","4","0","0","0","0","2007-2008","colby"
"Nicole Crocker","F","Jr","8","0","1","1","0.1250","1","2","0","0","0","0","2007-2008","colby"
"Shelley Payne","G","Jr","2","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","colby"
"Genevieve Triganne","G","Sr","10","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","colby"
"Margaret Chute","F","Sr","24","0","0","0","0.0000","3","6","0","0","0","0","2007-2008","colby"
"Lacey Brown","G","Jr","19","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","colby"
"Sam Hunt","F","Jr","32","22","14","36","1.1250","24","48","5","6","3","1","2007-2008","colgate"
"Elin Brown","D","Jr","33","8","19","27","0.8182","19","46","0","3","1","0","2007-2008","colgate"
"Kiira Dosdall","D","Jr","34","5","12","17","0.5000","28","67","1","3","0","0","2007-2008","colgate"
"Marissa Dombovy","F","So","34","7","9","16","0.4706","4","8","1","2","0","0","2007-2008","colgate"
"Beth Rotenberg","LW","So","34","7","8","15","0.4412","7","14","1","3","0","0","2007-2008","colgate"
"Hannah Milan","F","Fr","32","5","8","13","0.4063","7","14","0","2","1","0","2007-2008","colgate"
"Evan Minnick","F","So","34","5","8","13","0.3824","14","39","0","2","1","1","2007-2008","colgate"
"Mallory Johnston","D","Sr","34","2","10","12","0.3529","8","16","0","1","0","0","2007-2008","colgate"
"Jessi Waters","F/D","Fr","34","3","8","11","0.3235","4","8","1","1","0","0","2007-2008","colgate"
"Jacquie Colborne","F","Fr","34","7","3","10","0.2941","3","6","1","4","0","0","2007-2008","colgate"
"Kara Leene","F","Sr","33","5","2","7","0.2121","12","24","1","3","0","0","2007-2008","colgate"
"Katie Stewart","RW","So","21","1","6","7","0.3333","4","8","1","1","0","0","2007-2008","colgate"
"Laura Jansen","D","Jr","32","1","5","6","0.1875","12","24","0","0","0","0","2007-2008","colgate"
