"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Lori DiGiacomo","F","Jr","34","5","2","7","0.2059","1","0","1","1","2003-2004","northeastern"
"Mia Mucci","F","Fr","32","3","4","7","0.2188","1","1","0","0","2003-2004","northeastern"
"Ashly Waggoner","F","Fr","34","1","5","6","0.1765","1","0","0","0","2003-2004","northeastern"
"Jessica Coppney","F","Fr","34","4","0","4","0.1176","0","2","0","0","2003-2004","northeastern"
"Chrissy Sands","F","So","30","2","1","3","0.1000","0","0","0","0","2003-2004","northeastern"
"Jennifer Beaudoin","D","So","34","1","2","3","0.0882","0","0","0","0","2003-2004","northeastern"
"Melissa Jubinville","D","Fr","33","1","2","3","0.0909","0","1","0","0","2003-2004","northeastern"
"Stephanie Wood","F","Fr","34","1","2","3","0.0882","0","0","0","0","2003-2004","northeastern"
"Susannah Brokl","F","Fr","25","2","0","2","0.0800","0","0","0","0","2003-2004","northeastern"
"Kathryn Sands","F","So","34","0","2","2","0.0588","0","0","0","0","2003-2004","northeastern"
"Melissa Wigmore","F","Fr","27","0","2","2","0.0741","0","0","0","0","2003-2004","northeastern"
"Lindsay Snider","D","So","30","1","0","1","0.0333","1","0","0","0","2003-2004","northeastern"
"Katy Augustyn","G","So","8","0","0","0","0.0000","0","0","0","0","2003-2004","northeastern"
"Chanda Gunn","G","Sr","27","0","0","0","0.0000","0","0","0","0","2003-2004","northeastern"
"Stasia Bakhit","F","Sr","32","23","15","38","1.1875","4","3","3","2","2003-2004","north-dakota"
"Elizabeth Funk","F","So","32","16","18","34","1.0625","3","4","1","2","2003-2004","north-dakota"
"Sherrie White","F","Sr","32","12","18","30","0.9375","2","6","0","0","2003-2004","north-dakota"
"Abbey Strong","D","Sr","32","2","17","19","0.5938","2","1","0","0","2003-2004","north-dakota"
"Alexia Gagnon Laplante","F","Fr","28","10","7","17","0.6071","2","5","0","0","2003-2004","north-dakota"
"Devon Fingland","F/D","So","32","2","11","13","0.4063","1","1","0","0","2003-2004","north-dakota"
"Rachel Dusich","D","Fr","32","1","9","10","0.3125","0","0","0","0","2003-2004","north-dakota"
"Sarah Connelly","F/D","Fr","31","0","10","10","0.3226","0","0","0","0","2003-2004","north-dakota"
"Amber Yorga","F","So","32","5","3","8","0.2500","0","2","1","0","2003-2004","north-dakota"
"Marissa Hanglseben","F","Sr","31","2","4","6","0.1935","0","1","1","1","2003-2004","north-dakota"
"Jessica Kovacevich","D","So","29","2","3","5","0.1724","0","2","0","0","2003-2004","north-dakota"
"Meaghan Nelson","F","Jr","32","4","0","4","0.1250","0","1","0","0","2003-2004","north-dakota"
"Meghan Mutrie","F","So","32","3","1","4","0.1250","1","0","0","0","2003-2004","north-dakota"
"Meghan Hopps","F","So","32","3","1","4","0.1250","1","0","0","0","2003-2004","north-dakota"
"Anne Girtz","F","So","30","2","2","4","0.1333","0","1","0","0","2003-2004","north-dakota"
"Laura Cecko","F","So","27","1","1","2","0.0741","0","0","0","0","2003-2004","north-dakota"
"Aynsley Allen","F","So","21","1","0","1","0.0476","0","0","0","0","2003-2004","north-dakota"
"Amber Hasbargen","G","So","14","0","1","1","0.0714","0","0","0","0","2003-2004","north-dakota"
"Jenna Burdy","G","Fr","5","0","0","0","0.0000","0","0","0","0","2003-2004","north-dakota"
"Sarah McCann","F","So","6","0","0","0","0.0000","0","0","0","0","2003-2004","north-dakota"
"Margaret-Ann Hinkley","G","So","22","0","0","0","0.0000","0","0","0","0","2003-2004","north-dakota"
"Kelly Crandall","F","Fr","12","0","0","0","0.0000","0","0","0","0","2003-2004","north-dakota"
"Rachel Cutcliffe","D","Fr","8","0","0","0","0.0000","0","0","0","0","2003-2004","north-dakota"
"Dana Hanson","D","Fr","15","0","0","0","0.0000","0","0","0","0","2003-2004","north-dakota"
"Jana Harrigan","F","So","35","16","15","31","0.8857","2","2","0","1","2003-2004","ohio-state"
"Meaghan Mulvaney","W","Jr","33","11","12","23","0.6970","2","4","1","0","2003-2004","ohio-state"
"Jeni Creary","W","Jr","32","8","12","20","0.6250","2","3","0","0","2003-2004","ohio-state"
"Tessa Bonhomme","D","Fr","34","5","15","20","0.5882","1","4","0","0","2003-2004","ohio-state"
"Emma Laaksonen","D","Sr","35","3","16","19","0.5429","2","1","0","0","2003-2004","ohio-state"
