"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Muriel McIntyre","D","Jr","27","1","1","2","0.0741","10","20","0","0","0","0","2010-2011","concordia-wi"
"Marie Melton","F","Jr","17","1","1","2","0.1176","0","0","1","0","0","0","2010-2011","concordia-wi"
"Lindsey Farmer","RW/C","Jr","9","0","1","1","0.1111","0","0","0","0","0","0","2010-2011","concordia-wi"
"Lea Jondal","G","Jr","25","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-wi"
"Katie Hirsch","G","Sr","4","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-wi"
"Bradi Jonasson","D","Jr","9","0","0","0","0.0000","3","6","0","0","0","0","2010-2011","concordia-wi"
"Tracy Tyrakowski","F","Sr","9","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-wi"
"Taylor Gross","F","Fr","35","12","11","23","0.6571","2","4","2","1","0","0","2010-2011","connecticut"
"Jennifer Chaisson","F","Sr","35","7","14","21","0.6000","5","10","0","3","0","0","2010-2011","connecticut"
"Sami Evelyn","D","Jr","35","5","14","19","0.5429","13","26","1","1","0","1","2010-2011","connecticut"
"Kelly Horan","F","So","35","9","9","18","0.5143","6","12","3","3","0","1","2010-2011","connecticut"
"Maude Blain","D","So","35","4","10","14","0.4000","14","28","0","2","0","0","2010-2011","connecticut"
"Stephanie Raithby","F","Fr","35","6","6","12","0.3429","14","28","0","0","0","0","2010-2011","connecticut"
"Alexandra Vakos","F","Fr","34","3","9","12","0.3529","4","8","3","1","0","0","2010-2011","connecticut"
"Brittany Murphy","F","Sr","35","8","3","11","0.3143","25","50","1","1","0","1","2010-2011","connecticut"
"Jocelyn Slattery","F","Fr","34","4","7","11","0.3235","7","14","2","0","0","0","2010-2011","connecticut"
"Rebecca Hewett","D","Jr","35","2","8","10","0.2857","11","22","1","1","0","0","2010-2011","connecticut"
"Jody Sydor","D","Sr","35","1","6","7","0.2000","12","24","0","0","0","0","2010-2011","connecticut"
"Jenna Welch","F","Fr","35","1","4","5","0.1429","7","14","0","0","0","0","2010-2011","connecticut"
"Casey Knajdek","F/D","So","30","3","1","4","0.1333","9","18","0","1","0","0","2010-2011","connecticut"
"Jenny Saxon","F","Fr","35","1","2","3","0.0857","4","8","0","0","0","0","2010-2011","connecticut"
"Kiana Nauheim","D","Fr","35","1","2","3","0.0857","3","6","0","0","0","0","2010-2011","connecticut"
"Monique Weber","F","Jr","5","0","2","2","0.4000","5","10","0","0","0","0","2010-2011","connecticut"
"Jaclyn Camardo","F","Jr","35","1","0","1","0.0286","0","0","0","0","0","0","2010-2011","connecticut"
"Carli Pridmore","D","So","32","0","1","1","0.0313","0","0","0","0","0","0","2010-2011","connecticut"
"Alexandra Garcia","G","Jr","31","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","connecticut"
"Claire Francis","G","So","1","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","connecticut"
"Nicole Paniccia","G","Fr","6","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","connecticut"
